id,importanceSampling
1,238.253285
2,203.504191
3,177.300396
4,220.344304
5,168.793395
6,215.510621
7,289.515499
8,279.845093
9,168.239733
10,143.744580
11,267.219420
12,252.900793
13,176.428184
14,151.057192
15,193.657958
16,172.735676
17,167.619761
18,207.143110
19,146.857058
20,186.774911
21,255.545026
22,172.573136
23,147.100897
24,198.305604
25,209.456794
26,205.843448
27,191.934204
28,188.541038
29,227.763111
30,212.480327
31,288.123135
32,283.457126
33,244.361206
34,210.798751
35,292.769398
36,294.145670
37,202.885495
38,216.569005
39,199.462606
40,257.019131
41,240.835149
42,353.457351
43,242.311511
44,299.254955
45,162.877080
46,326.545907
47,283.593261
48,245.139013
49,212.260416
50,284.820494
51,279.357516
52,338.191848
53,301.163407
54,271.232735
55,306.107660
56,261.290974
57,293.214040
58,361.916187
59,233.115053
60,275.972187
61,310.235862
62,244.173840
63,254.004742
64,301.391572
65,329.536916
66,325.751588
67,329.166870
68,339.851196
69,249.520388
70,259.600621
71,217.487756
72,187.311452
73,382.262266
74,252.423129
75,324.781820
