id,linearization
1,235.441178
2,209.019501
3,178.951398
4,224.641186
5,179.284197
6,222.768656
7,294.717309
8,307.738948
9,175.036849
10,153.374384
11,264.971005
12,251.871209
13,178.261120
14,160.221915
15,188.819728
16,181.306834
17,173.364686
18,194.968039
19,147.586671
20,190.585526
21,245.497058
22,169.275125
23,157.935409
24,201.590415
25,231.203907
26,219.166802
27,192.114409
28,186.224891
29,258.536681
30,215.408519
31,306.500411
32,305.244281
33,260.284134
34,219.447210
35,306.672561
36,312.507102
37,208.191037
38,224.314034
39,196.980814
40,264.927974
41,269.304940
42,382.063240
43,257.940080
44,328.069604
45,157.580084
46,342.538141
47,293.671553
48,270.713230
49,217.758959
50,307.439479
51,290.905149
52,385.702027
53,322.309653
54,274.618476
55,337.647028
56,264.974630
57,306.514187
58,408.205469
59,237.522512
60,285.933010
61,315.241876
62,243.020018
63,261.080436
64,321.957954
65,365.754628
66,336.107199
67,346.983637
68,369.248463
69,262.661481
70,275.356390
71,197.773814
72,178.446532
73,364.666687
74,235.030660
75,264.135499
