parameter,value,CV,se_sa,rse_sa,P2.5_sa,P97.5_sa
V_pop,4.36291518936701,,0.286329402165656,6.56280009438363,3.8379,4.95976
Vm_pop,4.14855929521694,,0.229546470956786,5.5331611439528,3.72312,4.62262
Km_pop,2.74551261878716,,0.274951679764719,10.0145844489391,2.25948,3.33609
Cl_pop,22.5344800221052,,11.7086451614173,51.9587989158469,9.38473,54.1095
beta_Cl_ADA_NA,-0.736864224754948,,0.141419181947499,19.1920271328859,-1.01404,-0.459688
beta_Cl_ALB,-0.0987507643834432,,0.013588188455584,13.7600843299014,-0.125383,-0.0721184
Q_pop,0.987470349005559,,0.00669579163812113,0.678075209535577,0.974434,1.00068
V2_pop,4.21641675012393,,0.0724255550825565,1.71770390297467,4.07686,4.36075
omega_V,0.563138480272665,61.0879805296608,0.0465269701555667,8.26208326822896,0.47934,0.661586
omega_Cl,0.282646616142805,28.8386803126064,0.0278357156993397,9.84823950104392,0.233354,0.342352
a,0.244222326465938,,0.00847057995986595,3.46838885798893,0.228186,0.261386
b,2.22044604925031e-16,,0.00253472794853298,1.14153998444987e+15,4.77631e-21,1.03226e-11
