"model","problem","subproblem","covariance_step_run","minimization_successful","covariance_step_successful","covariance_step_warnings","estimate_near_boundary","rounding_errors","zero_gradients","final_zero_gradients","hessian_reset","s_matrix_singular","significant_digits","condition_number","est_methods","model_run_time","subprob_est_time","subprob_cov_time","ofv","[1]   CL (L/d)","[2,3] V1  (L)","V2","Q","CLADA","V1ALB1","IIV CL","IIV V1","EPS(1), proportional","EPS(2)","se[1]   CL (L/d)","se[2,3] V1  (L)","seV2","seQ","seCLADA","seV1ALB1","seIIV CL","seIIV V1","seEPS(1), proportional","seEPS(2)","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_iwres(%)","EI1","EI2","EI3","EI4","EI5","EI6","EI7","EI8","EI9","EI10"
0,1,1,1,1,1,0,0,0,0,0,0,0,3.2,7.18743,FOCE_I,NA,238.82,53.91,10624.155290760960,1.39726,4.70664,0.228756,2.1274,5.78029,-0.127136,0.607047,0.375377,0.289024,1e-13,0.0456196,0.167603,0.0187831,0.125705,0.243757,0.000998826,0.160859,0.0754157,0.0117312,NA,NA,NA,NA,0.262537,0.430542,0.577737,0.810592,0.899776,1.17463,1.31734,1.63988,1.88697,NA
1,1,1,0,1,0,0,0,0,0,0,1,0,3.3,NA,FOCE_I,NA,2098.25,0,12027.972829033179,1.46312,4.62377,0.11636,2.558,1.45768,-0.139044,0.642871,0.30178,0.281372,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,1,0,0,0,0,0,1,0,0,0,0,NA,NA,FOCE_I,NA,846.11,0,10610.072228695703,1.40299,5.17241,0.147952,2.82035,5.87573,-0.136075,0.602629,0.285687,0.292051,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1,1,0,0,0,0,0,1,0,0,0,0,2.9,NA,FOCE_I,NA,1604.7,0,10462.680334045122,1.35738,4.42616,0.206918,2.1074,6.49862,-0.129413,0.800913,0.521962,0.300589,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1,1,0,0,0,0,0,1,0,0,1,0,2.8,NA,FOCE_I,NA,1106.88,0,10462.345450668634,1.32756,4.39752,0.25738,2.23974,7.40842,-0.124297,0.567906,0.327285,0.25804,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1,1,0,0,0,0,0,0,0,0,0,0,NA,NA,FOCE_I,NA,2732.21,0,10934.632291999698,1.44361,4.62441,0.25545,2.70631,3.83506,-0.139259,0.556741,0.361165,0.29196,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1,1,0,0,0,0,0,0,1,1,0,0,NA,NA,FOCE_I,NA,2139.41,0,10081.960780502168,1.68539,4.9233,0.13759,2.04135,2.91298,-0.137165,0.625568,0.348879,0.29404,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1,1,0,0,0,0,0,1,0,0,0,0,2.6,NA,FOCE_I,NA,1314.45,0,10765.247909426891,1.2929,4.46437,0.189713,1.44983,2.46005,-0.125439,0.736386,0.388911,0.316507,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,1,1,0,0,0,0,0,1,0,0,0,0,2.8,NA,FOCE_I,NA,3785.98,0,12763.639283068665,1.15109,4.28283,0.668628,3.25557,6.54422,-0.124515,0.681817,0.458144,0.282373,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,1,1,0,1,0,0,0,0,0,0,0,0,3.1,NA,FOCE_I,NA,935.8,0,12013.029680286998,1.20164,4.85888,0.111709,2.02308,3.57172,-0.134865,0.445274,0.330845,0.272091,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,1,1,0,1,0,0,0,0,0,0,0,0,3.3,NA,FOCE_I,NA,1918.82,0,11118.638058548426,1.27623,4.77822,0.115141,1.4988,1.64491,-0.127795,0.532667,0.304832,0.271446,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,1,1,0,1,0,0,0,0,0,0,0,0,3.1,NA,FOCE_I,NA,2008.35,0,10635.990260395598,1.2506,5.09357,0.0624984,2.36165,1.20124,-0.130259,0.623403,0.329067,0.283895,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,1,1,0,1,0,0,0,0,0,0,0,0,3.2,NA,FOCE_I,NA,1814.84,0,10210.779424124637,1.27201,4.15229,0.162158,2.25249,2.56501,-0.119767,0.585532,0.419839,0.309391,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,1,1,0,0,0,0,0,0,1,1,0,0,NA,NA,FOCE_I,NA,2376.17,0,10168.524459534749,1.47001,4.62644,0.204386,1.94038,1.41085,-0.122851,0.49266,0.346096,0.288635,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,1,1,0,0,0,0,1,1,3,1,0,0,NA,NA,FOCE_I,NA,2960.92,0,10937.553607444379,1.3219,4.5234,0.399642,2.91338,6.2234,-0.139871,0.618726,0.369615,0.288261,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,1,1,0,0,0,0,0,1,0,0,0,0,2.6,NA,FOCE_I,NA,1731.17,0,11149.363197849587,1.35267,4.37806,0.319888,2.8662,4.01433,-0.139408,0.540018,0.348246,0.277236,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,1,1,0,0,0,0,0,1,0,0,0,0,NA,NA,FOCE_I,NA,560.57,0,11129.435403237647,1.31611,4.89418,0.219481,2.22225,6.15373,-0.128184,0.508405,0.288257,0.282217,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,1,1,0,0,0,0,0,1,0,0,2,0,1.7,NA,FOCE_I,NA,2469.25,0,11574.024644688567,1.37255,4.35768,0.267641,1.90927,3.79978,-0.107394,0.618172,0.31161,0.285527,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,1,1,0,0,0,0,0,1,0,0,1,0,3,NA,FOCE_I,NA,2852.12,0,11564.144892022550,1.30782,4.2497,0.558695,2.74544,7.14206,-0.122566,0.752499,0.502688,0.285921,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,1,1,0,0,0,0,0,0,1,1,0,0,NA,NA,FOCE_I,NA,1923.54,0,10042.639407166989,1.5281,5.35086,0.112954,4.3487,3.67739,-0.126692,0.544759,0.305635,0.288953,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,1,1,0,0,0,0,0,1,0,0,2,0,2.6,NA,FOCE_I,NA,8062.68,0,11384.037380539159,1.32758,4.2096,0.342429,1.99445,1.6326,-0.127733,0.663721,0.400204,0.300811,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,1,1,0,0,0,0,0,1,0,0,0,0,2.9,NA,FOCE_I,NA,868.9,0,10738.305266022082,1.41708,4.70646,0.212402,2.06728,5.96036,-0.127447,0.747634,0.433579,0.302718,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,1,1,0,0,0,0,0,1,0,0,1,0,1.3,NA,FOCE_I,NA,1305.38,0,10573.148954619297,1.3804,4.56194,0.213665,2.04197,7.06121,-0.127388,0.682967,0.455638,0.287965,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,1,1,0,0,0,0,0,1,0,0,1,0,1.7,NA,FOCE_I,NA,2600.96,0,10240.348787417068,1.38865,5.02004,0.185562,1.85833,4.51628,-0.125734,0.572194,0.328824,0.278906,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,1,1,0,0,0,0,0,1,0,0,0,0,2.9,NA,FOCE_I,NA,1747.18,0,9547.4967039278490,1.66583,4.60664,0.197216,2.23055,4.28221,-0.130822,0.485768,0.291833,0.277156,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,1,1,0,0,0,0,0,1,0,0,0,0,3,NA,FOCE_I,NA,638.16,0,10681.847936872340,1.27839,4.87108,0.247901,2.28741,5.46772,-0.128392,0.603875,0.287398,0.299734,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,1,1,0,0,0,0,1,1,2,1,0,0,NA,NA,FOCE_I,NA,1797.36,0,11872.011452660967,1.28153,4.58883,0.237052,1.82072,7.9778,-0.128762,0.714087,0.452091,0.303471,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
