"model","problem","subproblem","covariance_step_run","minimization_successful","covariance_step_successful","covariance_step_warnings","estimate_near_boundary","rounding_errors","zero_gradients","final_zero_gradients","hessian_reset","s_matrix_singular","significant_digits","condition_number","est_methods","model_run_time","subprob_est_time","subprob_cov_time","ofv","[1] CL (L/d)","VMAX","KM","[2,3] V1 (L)","V2","Q","CLALB","IIV CL","EPS(1), proportional","EPS(2)","se[1] CL (L/d)","seVMAX","seKM","se[2,3] V1 (L)","seV2","seQ","seCLALB","seIIV CL","seEPS(1), proportional","seEPS(2)","shrinkage_eta1(%)","shrinkage_iwres(%)","EI1","EI2","EI3","EI4","EI5","EI6","EI7","EI8","EI9","EI10"
0,1,1,1,1,1,0,0,0,0,0,1,0,3.3,544.468,FOCE_I,NA,323.68,49.48,5275.9420002668849,0.942903,1.37972,0.00757968,4.42301,0.000306981,12.9981,-3.66871,0.366112,0.327129,1e-13,0.00089544,0.00277041,0.000227281,0.012158,2.72635e-05,0.795017,0.00408104,0.0126958,0.00395174,NA,NA,NA,0.00507718,0.23826,0.279428,0.434414,0.969034,1.00344,1.39021,1.91577,2.76437,NA
1,1,1,0,0,0,0,0,1,0,0,0,0,NA,NA,FOCE_I,NA,374.57,0,7085.4285459748380,0.942917,1.37975,0.00757959,4.42276,0.000306974,12.9979,-3.66891,0.366115,0.327135,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,1,0,0,0,0,0,1,0,0,0,0,2.2,NA,FOCE_I,NA,323.81,0,4409.2816157558182,0.942898,1.37965,0.00757961,4.42304,0.00030676,12.9979,-3.66868,0.366111,0.327134,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1,1,0,0,0,0,0,1,0,0,0,0,NA,NA,FOCE_I,NA,221.9,0,4999.2895245437612,0.942903,1.37972,0.00757968,4.42301,0.000306981,12.9981,-3.66871,0.366112,0.327129,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1,1,0,0,0,0,0,1,0,0,0,0,3,NA,FOCE_I,NA,368.34,0,5822.7883789917914,0.94292,1.37967,0.0075796,4.42293,0.000306939,12.9979,-3.66905,0.366125,0.327135,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1,1,0,1,0,0,0,0,0,0,0,0,3.1,NA,FOCE_I,NA,265.18,0,4770.0886673869190,0.942887,1.37972,0.00757969,4.42305,0.000306981,12.9981,-3.67216,0.366112,0.327132,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1,1,0,0,0,0,0,1,0,0,0,0,NA,NA,FOCE_I,NA,351.74,0,5710.0753000049690,0.942929,1.37975,0.00757989,4.42276,0.000306974,12.9971,-3.66882,0.366121,0.327043,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1,1,0,1,0,0,0,0,0,0,0,0,3.3,NA,FOCE_I,NA,466.06,0,4186.0575146219580,0.942993,1.37974,0.0075798,4.4227,0.000307003,12.9969,-3.66624,0.366014,0.326717,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,1,1,0,1,0,0,0,0,0,0,0,0,3.1,NA,FOCE_I,NA,178.03,0,7141.8091524182910,0.942903,1.37972,0.00757968,4.42301,0.000306981,12.9981,-3.66871,0.366112,0.327129,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,1,1,0,0,0,0,0,1,0,0,0,0,2.1,NA,FOCE_I,NA,406.71,0,5218.8022631437452,0.94286,1.37971,0.0075795,4.42309,0.000306986,12.9984,-3.67989,0.366031,0.327186,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
