"sample.id","model","problem","subproblem","covariance_step_run","minimization_successful","covariance_step_successful","covariance_step_warnings","estimate_near_boundary","rounding_errors","zero_gradients","final_zero_gradients","hessian_reset","s_matrix_singular","significant_digits","condition_number","est_methods","model_run_time","subprob_est_time","subprob_cov_time","ofv","deltaofv","likelihood_ratio","relPDF","importance_ratio","probability_resample","resamples","sample_order","CL (L/d) [1]","V (L) [2,3]","CLADA","VADA","VALB","VCREAT","IIV CL (value obtained from SCM+)","IIV V","EPS(1), proportional (value obtained from SCM+)","EPS(2)","seCL (L/d) [1]","seV (L) [2,3]","seCLADA","seVADA","seVALB","seVCREAT","seIIV CL (value obtained from SCM+)","seIIV V","seEPS(1), proportional (value obtained from SCM+)","seEPS(2)","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_iwres(%)","EI1","EI2","EI3","EI4","EI5","EI6","EI7","EI8","EI9","EI10"
0,input,1,1,1,1,1,0,0,0,0,0,0,0,3,74.9062,FOCE_I,NA,510.31,57.67,10797.653468906055,0,NA,NA,NA,NA,NA,NA,1.39797,4.96413,4.01979,-0.262909,-0.124656,0.183952,0.60363,0.369616,0.28265,5e-13,0.176668,0.461182,0.667734,0.131609,0.0022974,0.0753429,0.18408,0.0778764,0.014659,NA,NA,NA,NA,0.0420175,0.265058,0.422124,0.5161,0.906451,1.01602,1.18166,1.5032,3.14737,NA
1,1,1,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10842.255349813178,44.6018809071229,2.06454626603566e-10,0.000496613088348415,4.15725302951986e-07,2.52530989625158e-10,0,0,1.06036,6.17443,4.63245,-0.196809,-0.1269,0.333526,0.514924,0.255336,0.31685,5e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,2,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10804.122163924621,6.468695018566,0.0393858954889597,0.162872332174221,0.241820663848723,0.000146893179510374,1,896,1.58637,4.81451,4.18268,-0.296107,-0.122992,0.222561,0.784936,0.359169,0.271494,5e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1,3,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10803.214010062995,5.56054115693951,0.0620217233637651,0.0177027944430708,3.50349904153361,0.00212818915237271,1,244,1.28395,5.17827,4.00116,-0.221344,-0.12135,0.1351,0.767824,0.375333,0.275169,5e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1,4,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10804.297745027503,6.64427612144755,0.0360756173783461,0.349634735556731,0.103180873378905,6.26768875498841e-05,1,928,1.19057,5.27097,4.12032,-0.220107,-0.126081,0.190298,0.536209,0.341248,0.292037,5e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1,5,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10811.743849475397,14.0903805693415,0.000871590996612918,0.0115454947398324,0.0754918707472875,4.58572925272938e-05,1,1000,1.15772,5.89529,4.48499,-0.254779,-0.125028,0.319132,0.54285,0.371809,0.292101,5e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1,6,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,406014651.57143426,406003853.917965,0,0.000874463107386288,0,0,0,0,1.6692,4.71327,2.73825,-0.468461,-0.125226,0.389072,0.830667,0.421442,0.287677,5e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1,7,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10803.804348825695,6.15087991963992,0.0461693112707772,0.0618506234972712,0.74646476721151,0.000453437606625564,1,445,1.20663,4.9917,4.76441,-0.188501,-0.123922,0.0776442,0.56767,0.403332,0.290575,5e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,1,8,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,307182846.81734824,307172049.163879,0,0.0459744039387507,0,0,0,0,1.49181,4.01795,3.61241,-0.265417,-0.12371,0.201133,0.605153,0.428806,0.266143,5e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,1,9,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10804.053528917300,6.40006001124493,0.0407609809014124,0.0476829029173275,0.854834299247336,0.000519266328081528,1,608,1.58997,4.72824,4.74135,-0.240262,-0.12521,0.17371,0.736881,0.36327,0.271111,5e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
