SIR run info
"","          Date","         model","   PsN version","NONMEM version",
"",      2026-1-6,final_backward_4.mod,        v5.6.0,       default,
Summary statistics over resamples
"","  CL (L/d) [1]","   V (L) [2,3]","         CLADA","          VADA","          VALB","        VCREAT","IIV CL (value obtained from SCM+)","         IIV V","EPS(1), proportional (value obtained from SCM+)",
"center_estimate",       1.39797,       4.96413,       4.01979,     -0.262909,     -0.124656,      0.183952,       0.60363,      0.369616,       0.28265,
"          mean",      1.406334,       4.97808,      4.027199,-0.25384872614,  -0.124447999,     0.1889147,     0.6321325,     0.3741182,     0.2818156,
"        median",      1.401715,       4.96585,       4.03054,     -0.254666,    -0.1244155,     0.1875925,      0.626006,      0.372073,      0.281603,
"            se",     0.1400986,     0.3809001,     0.6045928,     0.1137243,   0.002250421,     0.0751973,     0.1305757,    0.06589536,    0.01097796,
"           rse",     0.1002157,    0.07673049,     0.1504041,     0.4325615,    0.01805305,     0.4087876,     0.2163175,     0.1782806,    0.03883942,
"        rse_sd",              NA,              NA,              NA,              NA,              NA,              NA,     0.1081588,    0.08914029,    0.01941971,
Quantiles (R type=2)
"","  CL (L/d) [1]","   V (L) [2,3]","         CLADA","          VADA","          VALB","        VCREAT","IIV CL (value obtained from SCM+)","         IIV V","EPS(1), proportional (value obtained from SCM+)",
"          2.5%",       1.14849,       4.24249,      2.827975,    -0.4606575,    -0.1285165,    0.04709735,      0.409064,     0.2519635,     0.2613085,
"            5%",       1.17246,      4.356765,      3.041675,    -0.4353135,     -0.128087,     0.0633035,     0.4272495,     0.2694865,     0.2637425,
"           10%",      1.227255,       4.49534,       3.26887,    -0.3996255,     -0.127298,     0.0908308,      0.462363,     0.2902785,     0.2683855,
"           30%",      1.328545,      4.773905,      3.735385,     -0.314313,     -0.125703,     0.1488765,     0.5521015,      0.337244,      0.275755,
"           50%",      1.401715,       4.96585,       4.03054,     -0.254666,    -0.1244155,     0.1875925,      0.626006,      0.372073,      0.281603,
"           70%",      1.477255,       5.17988,      4.330285,     -0.194598,     -0.123224,      0.228537,     0.6969545,      0.408806,     0.2876345,
"           90%",      1.594935,       5.45729,      4.811925,     -0.107214,    -0.1216425,      0.284581,      0.808481,      0.461548,      0.296667,
"           95%",      1.643795,      5.622085,       4.99309,    -0.0690069,    -0.1206865,        0.3129,      0.853995,      0.483402,     0.3005255,
"         97.5%",       1.69044,      5.747385,      5.201225,   -0.02379705,    -0.1202275,     0.3398725,     0.8889795,      0.510426,      0.302382,
 
"              ",
Empirical sd-correlation matrix
"","  CL (L/d) [1]","   V (L) [2,3]","         CLADA","          VADA","          VALB","        VCREAT","IIV CL (value obtained from SCM+)","         IIV V","EPS(1), proportional (value obtained from SCM+)",
"  CL (L/d) [1]",     0.1400986,-0.313644219030429,-0.180408551683473,-0.101650503762809,    0.05979501,     0.1001468,     0.2543257,     0.1130646,-0.20646625711751,
"   V (L) [2,3]",-0.313644219030429,     0.3809001,     0.1721289,     0.1648133,-0.0968043758805431,    0.06550297,   0.004071428,-0.12671209048126,     0.2178135,
"         CLADA",-0.180408551683473,     0.1721289,     0.6045928,     0.7560478,-0.0685207386198142,-0.0891138767977677,-0.110521972524771,     0.1773094,     0.1827732,
"          VADA",-0.101650503762809,     0.1648133,     0.7560478,     0.1137243,-0.0314431773360606,-0.0455520071657026,-0.0689003834661474,     0.1263848,     0.1082335,
"          VALB",    0.05979501,-0.0968043758805431,-0.0685207386198142,-0.0314431773360606,   0.002250421,-0.0456002348309463,-0.163687406088994,-0.227340785201476,-0.0531190782044733,
"        VCREAT",     0.1001468,    0.06550297,-0.0891138767977677,-0.0455520071657026,-0.0456002348309463,     0.0751973,    0.05075315,    0.08573592,     0.1480715,
"IIV CL (value obtained from SCM+)",     0.2543257,   0.004071428,-0.110521972524771,-0.0689003834661474,-0.163687406088994,    0.05075315,     0.1305757,-0.094030866579467,-0.304556088246253,
"         IIV V",     0.1130646,-0.12671209048126,     0.1773094,     0.1263848,-0.227340785201476,    0.08573592,-0.094030866579467,    0.06589536,-0.0616241941470755,
"EPS(1), proportional (value obtained from SCM+)",-0.20646625711751,     0.2178135,     0.1827732,     0.1082335,-0.0531190782044733,     0.1480715,-0.304556088246253,-0.0616241941470755,    0.01097796,
