"sample.id","model","problem","subproblem","covariance_step_run","minimization_successful","covariance_step_successful","covariance_step_warnings","estimate_near_boundary","rounding_errors","zero_gradients","final_zero_gradients","hessian_reset","s_matrix_singular","significant_digits","condition_number","est_methods","model_run_time","subprob_est_time","subprob_cov_time","ofv","deltaofv","likelihood_ratio","relPDF","importance_ratio","probability_resample","resamples","sample_order","[1]   CL (L/d)","[2,3] V1  (L)","V2","Q","CLADA","V1ALB1","IIV CL","IIV V1","EPS(1), proportional","EPS(2)","se[1]   CL (L/d)","se[2,3] V1  (L)","seV2","seQ","seCLADA","seV1ALB1","seIIV CL","seIIV V1","seEPS(1), proportional","seEPS(2)","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_iwres(%)","EI1","EI2","EI3","EI4","EI5","EI6","EI7","EI8","EI9","EI10"
0,input,1,1,1,1,1,0,0,0,0,0,0,0,3.2,7.18743,FOCE_I,NA,239.16,54.75,10624.155290760960,0,NA,NA,NA,NA,NA,NA,1.39726,4.70664,0.228756,2.1274,5.78029,-0.127136,0.607047,0.375377,0.289024,1e-13,0.0456196,0.167603,0.0187831,0.125705,0.243757,0.000998826,0.160859,0.0754157,0.0117312,NA,NA,NA,NA,0.262537,0.430542,0.577737,0.810592,0.899776,1.17463,1.31734,1.63988,1.88697,NA
1,1,1,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10627.728456465120,3.57316570415969,0.167531673163443,0.0488573999699999,3.42899280899748,6.13078197216928e-05,0,0,1.34548,4.95094,0.210738,1.85515,6.0265,-0.12727,0.73853,0.386409,0.27589,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,2,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10629.820729081437,5.66543832047682,0.0588526062321614,0.00571544765141601,10.2971122861357,0.000184104644966288,1,478,1.40996,5.32076,0.223986,1.82982,6.25048,-0.125893,0.493826,0.325813,0.292593,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1,3,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10626.152339606213,1.99704884525272,0.368422676445335,0.0472118420588252,7.80360732348223,0.000139522646332642,0,0,1.4454,4.6271,0.261732,2.73641,5.94987,-0.127843,0.545007,0.328646,0.291334,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1,4,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10627.674541393904,3.51925063294402,0.172109338277604,0.0565638109346723,3.04274650936054,5.44020255642429e-05,0,0,1.30322,4.90335,0.223416,2.05513,5.044,-0.12943,0.665441,0.373387,0.285208,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1,5,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10625.708956394605,1.55366563364441,0.45986016868867,0.0570428107690115,8.06166741240754,0.000144136567180678,0,0,1.39781,4.47005,0.203325,1.75845,5.87042,-0.125513,0.552224,0.416785,0.28679,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1,6,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10632.123307195872,7.96801643491199,0.0186108931315585,0.00270501515870128,6.88014374769488,0.000123011810184091,0,0,1.21565,4.81487,0.200813,1.93069,5.71891,-0.127209,0.593896,0.553266,0.278875,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1,7,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10630.049283365581,5.89399260462051,0.0524971549484926,0.0147585588174115,3.55706513067921,6.35976567806681e-05,0,0,1.41846,4.73269,0.298643,2.43985,5.3447,-0.127902,0.695969,0.294677,0.282897,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,1,8,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10630.514152417720,6.35886165675947,0.0416093312331245,0.0109034991259567,3.81614477631958,6.82298065381134e-05,1,217,1.3218,5.07369,0.158959,1.90302,5.21365,-0.125842,0.644513,0.278724,0.29985,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,1,9,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10631.994260408430,7.83896964746964,0.0198513190388886,0.00505168682227035,3.92964166966449,7.02590458698216e-05,0,0,1.42686,3.98235,0.219684,2.05047,5.71633,-0.125518,0.491869,0.423661,0.283793,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
