"sample.id","model","problem","subproblem","covariance_step_run","minimization_successful","covariance_step_successful","covariance_step_warnings","estimate_near_boundary","rounding_errors","zero_gradients","final_zero_gradients","hessian_reset","s_matrix_singular","significant_digits","condition_number","est_methods","model_run_time","subprob_est_time","subprob_cov_time","ofv","deltaofv","likelihood_ratio","relPDF","importance_ratio","probability_resample","resamples","sample_order","[1]   CL (L/d)","[2,3] V1  (L)","V2","Q","CLADA","V1ALB1","IIV CL","IIV V1","EPS(1), proportional","EPS(2)","se[1]   CL (L/d)","se[2,3] V1  (L)","seV2","seQ","seCLADA","seV1ALB1","seIIV CL","seIIV V1","seEPS(1), proportional","seEPS(2)","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_iwres(%)","EI1","EI2","EI3","EI4","EI5","EI6","EI7","EI8","EI9","EI10"
0,input,1,1,1,1,1,0,0,0,0,0,0,0,3.2,7.18743,FOCE_I,NA,239.16,54.75,10624.155290760960,0,NA,NA,NA,NA,NA,NA,1.39726,4.70664,0.228756,2.1274,5.78029,-0.127136,0.607047,0.375377,0.289024,1e-13,0.0456196,0.167603,0.0187831,0.125705,0.243757,0.000998826,0.160859,0.0754157,0.0117312,NA,NA,NA,NA,0.262537,0.430542,0.577737,0.810592,0.899776,1.17463,1.31734,1.63988,1.88697,NA
1,1,1,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10630.106149073015,5.95085831205506,0.0510255313903171,0.000785557614410205,64.9545373303102,0.000573490216529866,1,69,1.39893,4.90526,0.163079,2.01034,5.8508,-0.12349,0.824606,0.35922,0.282059,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,2,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10627.878965222151,3.72367446119097,0.155386886417745,0.00355453296677999,43.7151344128644,0.000385965367940002,1,14,1.4327,4.8662,0.187365,2.08825,6.05019,-0.128086,0.787204,0.368414,0.280191,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1,3,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10628.430345653996,4.27505489303621,0.11794611085281,0.116154648212904,1.01542308179198,8.96527366648742e-06,0,0,1.43292,4.78806,0.226992,2.16374,5.62874,-0.127154,0.765867,0.302448,0.290733,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1,4,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10626.737486579208,2.58219581824778,0.27496872663107,0.121648647003102,2.26035170472597,1.99568750984244e-05,1,442,1.45553,4.31771,0.215663,2.11618,5.57601,-0.126872,0.560413,0.393896,0.281568,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1,5,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10632.285135360504,8.1298445995435,0.0171643228935973,0.00240095184044894,7.14896592444263,6.31189472588251e-05,1,209,1.43311,4.25803,0.25277,2.38433,6.30022,-0.124761,0.468415,0.306975,0.284331,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1,6,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10626.937941465079,2.78265070411908,0.248745410824702,0.153283063154734,1.62278470762032,1.4327731234878e-05,0,0,1.41649,4.74092,0.253923,2.26206,5.64513,-0.127262,0.727489,0.351623,0.298512,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1,7,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10628.575535094189,4.42024433322877,0.109687247577277,0.0652464766791719,1.68112139014997,1.48427917382795e-05,1,402,1.41968,4.80776,0.198296,2.11214,5.88968,-0.125858,0.607712,0.269631,0.287676,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,1,8,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10626.885143854546,2.72985309358592,0.255399435206699,0.0289946186830033,8.80851160689397,7.77712448793966e-05,0,0,1.4101,4.95473,0.206359,2.19948,5.62852,-0.125625,0.609697,0.422127,0.277562,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,1,9,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10627.149712938979,2.99442217801879,0.223753318867591,0.0182063841369927,12.2898274135037,0.000108508136216005,0,0,1.29882,5.13609,0.209537,2.02142,5.95563,-0.125867,0.538585,0.409367,0.292588,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,1,10,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,NA,0,0,10630.969561934186,6.81427117322528,0.0331359797113725,0.00304255067431231,10.8908554888283,9.61564708054523e-05,0,0,1.28797,4.85201,0.264284,2.40023,5.61755,-0.130496,0.613523,0.392431,0.303805,1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
