SIR run info
"","          Date","         model","   PsN version","NONMEM version",
"",      2026-1-7,     run12.mod,        v5.6.0,       default,
Summary statistics over resamples
"","[1]   CL (L/d)"," [2,3] V1  (L)","            V2","             Q","         CLADA","        V1ALB1","        IIV CL","        IIV V1","EPS(1), proportional",
"center_estimate",       1.39726,       4.70664,      0.228756,        2.1274,       5.78029,     -0.127136,      0.607047,      0.375377,      0.289024,
"          mean",      1.400598,      4.713187,     0.2228587,      2.132482,        5.7551,  -0.126955371,     0.6158667,     0.3850061,     0.2892535,
"        median",      1.404985,       4.69829,        0.2231,      2.107305,      5.811735,    -0.1269225,       0.60171,     0.3817335,      0.289355,
"            se",    0.08771942,     0.2972277,    0.04554579,     0.3220281,     0.5923927,   0.001806827,     0.1061141,    0.06544297,   0.009692742,
"           rse",     0.0627796,    0.06315073,      0.199102,     0.1513717,     0.1024849,    0.01421176,     0.1748037,     0.1743393,    0.03353612,
"        rse_sd",              NA,              NA,              NA,              NA,              NA,              NA,    0.08740184,    0.08716966,    0.01676806,
Quantiles (R type=2)
"","[1]   CL (L/d)"," [2,3] V1  (L)","            V2","             Q","         CLADA","        V1ALB1","        IIV CL","        IIV V1","EPS(1), proportional",
"          2.5%",       1.23194,      4.156535,      0.130122,      1.619735,      4.428655,      -0.13047,     0.4434085,       0.27466,     0.2705855,
"            5%",      1.256745,       4.25987,     0.1437655,       1.66374,       4.65105,    -0.1298745,      0.466539,     0.2902535,     0.2727205,
"           10%",       1.28285,      4.346615,     0.1647255,      1.733505,       4.90949,    -0.1292915,      0.489845,     0.3042815,     0.2772585,
"           30%",      1.356225,      4.548185,     0.1979695,       1.93638,      5.522505,     -0.127931,       0.55561,     0.3470595,     0.2838705,
"           50%",      1.404985,       4.69829,        0.2231,      2.107305,      5.811735,    -0.1269225,       0.60171,     0.3817335,      0.289355,
"           70%",      1.449245,      4.857035,     0.2482405,       2.29092,      6.094225,     -0.126071,      0.657816,     0.4159485,      0.294462,
"           90%",       1.51064,       5.10591,      0.281839,       2.55128,      6.470625,     -0.124534,     0.7583785,     0.4690695,      0.301472,
"           95%",       1.54016,       5.21582,     0.2942505,      2.668895,      6.624985,      -0.12389,     0.8152095,     0.4981745,      0.305006,
"         97.5%",       1.56001,       5.34006,     0.3075165,       2.84018,       6.76216,    -0.1233835,     0.8640105,      0.524049,     0.3082485,
 
"              ",
Empirical sd-correlation matrix
"","[1]   CL (L/d)"," [2,3] V1  (L)","            V2","             Q","         CLADA","        V1ALB1","        IIV CL","        IIV V1","EPS(1), proportional",
"[1]   CL (L/d)",    0.08771942,-0.169979519086942,     0.1197672,    0.06207732,    0.02023712,-0.0674853558105949,    0.03275281,   0.005566784,-0.0727767007219408,
" [2,3] V1  (L)",-0.169979519086942,     0.2972277,-0.0897044172392884,-0.172596857201601,    0.03317591,-0.0572431267988922,    0.03764881,-0.0649545363282024,    0.09077409,
"            V2",     0.1197672,-0.0897044172392884,    0.04554579,     0.6690329,     0.0237956,-0.442451042463055,    0.01686303,    0.09124457,-0.0957090847593619,
"             Q",    0.06207732,-0.172596857201601,     0.6690329,     0.3220281,-0.015134078649671,-0.144421666181304,-0.0410102868566253,    0.01849476,-0.0806270428882372,
"         CLADA",    0.02023712,    0.03317591,     0.0237956,-0.015134078649671,     0.5923927,    0.05074902,-0.0225013245734491,-0.0671492934690217,    0.02408838,
"        V1ALB1",-0.0674853558105949,-0.0572431267988922,-0.442451042463055,-0.144421666181304,    0.05074902,   0.001806827,-0.0655397911414492,-0.208684814398203,-0.0585623221607086,
"        IIV CL",    0.03275281,    0.03764881,    0.01686303,-0.0410102868566253,-0.0225013245734491,-0.0655397911414492,     0.1061141,    0.05129625,-0.0105391491900186,
"        IIV V1",   0.005566784,-0.0649545363282024,    0.09124457,    0.01849476,-0.0671492934690217,-0.208684814398203,    0.05129625,    0.06544297,-0.0170809007621321,
"EPS(1), proportional",-0.0727767007219408,    0.09077409,-0.0957090847593619,-0.0806270428882372,    0.02408838,-0.0585623221607086,-0.0105391491900186,-0.0170809007621321,   0.009692742,
